order_id,sku_id,seller_id,created_at,price
O81,62316095,S001,22-01-2026 14:50,899.5
O82,1982137274,S001,05-01-2026 20:33,750
O82,059035342X,S001,23-02-2026 09:43,650
O82,307474275,S001,17-02-2026 13:16,899
O82,140449132,S001,13-02-2026 08:14,499
O82,61120081,S001,28-01-2026 02:17,620
O82,553386794,S001,20-01-2026 21:39,799
O82,544003411,S001,16-04-2026 21:35,720
O82,62316117,S001,17-01-2026 21:09,950
O82,143127748,S001,25-04-2026 15:53,650
O82,1594634025,S001,23-03-2026 22:17,690
O82,038549081X,S001,07-01-2026 04:07,540
O82,62457713,S001,06-01-2026 18:51,780
O82,142437239,S001,19-01-2026 04:39,550
O82,030788744X,S001,12-02-2026 10:55,720
O96,62315005,S001,15-02-2026 04:16,650
O97,596007120,S001,09-04-2026 03:07,2100
O98,262033844,S001,27-04-2026 21:36,3200
O99,132350882,S001,06-01-2026 03:39,1900
O100,735211299,S001,19-04-2026 23:35,800
O101,385472579,S001,08-02-2026 14:39,690
O102,60850523,S001,16-04-2026 19:36,560
O103,143039954,S001,23-03-2026 11:06,880
O104,1501128035,S001,12-02-2026 19:19,720
O105,525559477,S001,29-03-2026 05:27,680
O105,804139296,S001,25-04-2026 10:10,710
O105,66620996,S001,24-02-2026 00:27,640
O105,006245773X,S001,02-01-2026 06:17,890
O105,451524934,S001,01-02-2026 00:03,420
O105,316769487,S001,24-03-2026 01:31,520
O105,671027034,S001,08-03-2026 01:40,780
O105,1982157283,S001,23-02-2026 22:58,740
O105,593230256,S001,31-01-2026 04:35,600
O105,345803485,S001,11-02-2026 19:26,890
O105,081298160X,S001,07-03-2026 08:38,650
O105,590353403,S001,20-01-2026 20:20,680
O105,143110438,S001,19-01-2026 00:13,840
O118,307465357,S001,15-03-2026 18:35,720
O119,140283331,S001,19-01-2026 18:43,500
O120,62315008,S001,11-03-2026 16:57,670
O121,307346617,S001,08-03-2026 18:56,980
O122,61992275,S001,28-04-2026 05:34,620
O123,006256577X,S001,21-02-2026 08:45,850
O124,1250316774,S001,09-01-2026 10:29,720
O124,62457715,S001,31-03-2026 05:04,980
O124,307277674,S001,15-04-2026 03:00,620
O124,385484518,S001,25-01-2026 05:43,560
O124,1501173219,S001,15-03-2026 12:05,740
O124,143130722,S001,16-01-2026 07:14,630
O124,399590501,S001,18-04-2026 04:41,1100
