order_id,sku_id,seller_id,created_at,price
ORD0001,62316095,S001,19-09-2025 00:00,899.5
ORD0001,1982137274,S001,19-09-2025 00:00,750
ORD0001,059035342X,S001,19-09-2025 00:00,650
ORD0001,307474275,S001,19-09-2025 00:00,899
ORD0002,140449132,S001,19-09-2025 00:00,499
ORD0002,61120081,S001,19-09-2025 00:00,620
ORD0002,553386794,S001,19-09-2025 00:00,799
ORD0003,544003411,S001,19-09-2025 00:00,720
ORD0003,62316117,S001,19-09-2025 00:00,950
ORD0003,143127748,S001,19-09-2025 00:00,650
ORD0004,1594634025,S001,19-09-2025 00:00,690
ORD0004,038549081X,S001,19-09-2025 00:00,540
ORD0004,62457713,S001,19-09-2025 00:00,780
ORD0004,142437239,S001,19-09-2025 00:00,550
ORD0004,030788744X,S001,19-09-2025 00:00,720
ORD0005,62315005,S001,19-09-2025 00:00,650
ORD0005,596007120,S001,19-09-2025 00:00,2100
ORD0005,262033844,S001,19-09-2025 00:00,3200
ORD0005,132350882,S001,19-09-2025 00:00,1900
ORD0005,735211299,S001,19-09-2025 00:00,800
ORD0006,385472579,S001,19-09-2025 00:00,690
ORD0006,60850523,S001,19-09-2025 00:00,560
ORD0006,143039954,S001,19-09-2025 00:00,880
ORD0006,1501128035,S001,19-09-2025 00:00,720
ORD0006,525559477,S001,19-09-2025 00:00,680
ORD0007,804139296,S001,19-09-2025 00:00,710
ORD0007,66620996,S001,19-09-2025 00:00,640
ORD0007,006245773X,S001,19-09-2025 00:00,890
ORD0007,451524934,S001,19-09-2025 00:00,420
ORD0008,316769487,S001,19-09-2025 00:00,520
ORD0008,671027034,S001,19-09-2025 00:00,780
ORD0008,1982157283,S001,19-09-2025 00:00,740
ORD0008,593230256,S001,19-09-2025 00:00,600
ORD0009,345803485,S001,19-09-2025 00:00,890
ORD0009,081298160X,S001,19-09-2025 00:00,650
ORD0010,590353403,S001,19-09-2025 00:00,680
ORD0010,143110438,S001,19-09-2025 00:00,840
ORD0010,307465357,S001,19-09-2025 00:00,720
ORD0010,140283331,S001,19-09-2025 00:00,500
ORD0010,62315008,S001,19-09-2025 00:00,670
ORD0011,307346617,S001,19-09-2025 00:00,980
ORD0011,61992275,S001,19-09-2025 00:00,620
ORD0012,006256577X,S001,19-09-2025 00:00,850
ORD0012,1250316774,S001,19-09-2025 00:00,720
ORD0013,62457715,S001,19-09-2025 00:00,980
ORD0013,307277674,S001,19-09-2025 00:00,620
ORD0013,385484518,S001,19-09-2025 00:00,560
ORD0014,1501173219,S001,19-09-2025 00:00,740
ORD0014,143130722,S001,19-09-2025 00:00,630
ORD0014,399590501,S001,19-09-2025 00:00,1100
ORD0015,62316112,S001,19-09-2025 00:00,780
ORD0015,307719227,S001,19-09-2025 00:00,690
