sku,customer_id,rating,feedback,timestamp
SKU00001,CUST00874,5,Positive,08-09-2025 23:40
SKU00001,CUST00887,2,Negative,11-08-2025 18:08
SKU00001,CUST00463,2,Negative,10-08-2025 04:15
SKU00001,CUST00348,4,Positive,08-08-2025 17:06
SKU00001,CUST00426,1,Negative,31-07-2025 08:17
SKU00001,CUST00438,3,Negative,03-09-2025 13:48
SKU00001,CUST00262,3,Negative,15-07-2025 19:40
SKU00001,CUST00704,4,Positive,07-07-2025 12:25
SKU00002,CUST00852,1,Negative,10-07-2025 01:14
SKU00002,CUST00443,1,Negative,11-09-2025 07:01
SKU00002,CUST00757,3,Negative,17-09-2025 19:33
SKU00002,CUST00134,5,Positive,06-07-2025 19:45
SKU00002,CUST00601,5,Positive,24-08-2025 12:49
SKU00002,CUST00338,1,Negative,09-08-2025 21:15
SKU00002,CUST00363,4,Positive,23-09-2025 06:48
SKU00003,CUST00992,3,Negative,28-08-2025 07:03
SKU00003,CUST00320,3,Negative,11-07-2025 01:24
SKU00003,CUST00592,5,Positive,21-07-2025 15:43
SKU00003,CUST00159,4,Positive,22-07-2025 18:31
SKU00003,CUST00868,1,Negative,03-08-2025 23:49
SKU00003,CUST00866,5,Positive,05-08-2025 16:28
SKU00004,CUST00781,3,Negative,25-08-2025 17:44
SKU00004,CUST00232,4,Positive,21-09-2025 01:21
SKU00004,CUST00575,5,Positive,29-08-2025 13:43
SKU00004,CUST00692,5,Positive,03-07-2025 13:10
SKU00004,CUST00624,3,Negative,03-07-2025 19:27
SKU00004,CUST00185,3,Negative,07-09-2025 05:24
SKU00004,CUST00781,3,Negative,28-09-2025 11:20
SKU00004,CUST00348,3,Negative,01-07-2025 14:13
SKU00005,CUST00891,2,Negative,24-08-2025 23:37
SKU00005,CUST00674,4,Positive,07-07-2025 18:08
SKU00005,CUST00146,1,Negative,09-07-2025 21:48
SKU00005,CUST00765,5,Positive,21-07-2025 21:17
SKU00005,CUST00386,4,Positive,14-08-2025 01:04
SKU00005,CUST00350,2,Negative,05-08-2025 22:17
